acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Robin Williams",,,  18/09/2002,"
                                  1h 38min                            ",106000,,Thriller,Etats-Unis,,,,101,"
                UFD","
                            Photo obsession",https://www.jpbox-office.com/fichfilm.php?id=1876&view=2
,5 500 000 $,,  29/01/2014,"
                                  1h 57min                            ",106158,,Drame,Etats-Unis,,,,121,"
                UGC Distribution","
                            Dallas Buyers Club",https://www.jpbox-office.com/fichfilm.php?id=13779&view=2
"
                            Jared Leto,
                            Matthew McConaughey,
                            Jennifer Garner",5 500 000 $,,  29/01/2014,"
                                  1h 57min                            ",106158,,Drame,Etats-Unis,,,,121,"
                UGC Distribution","
                            Dallas Buyers Club",https://www.jpbox-office.com/fichfilm.php?id=13779&view=2
,? $,,  14/10/1998,"
                                  1h 45min                            ",106068,,Drame,Grande-Bretagne,,"
                                    Ken Loach",,106,"
                Diaphana","
                            My Name is Joe",https://www.jpbox-office.com/fichfilm.php?id=3107&view=2
,40 000 000 $,,  25/11/2015,"
                                  1h 49min                            ",106131,,Fantasy,Etats-Unis,,,,224,"
                20th Century Fox","
                            Docteur Frankenstein",https://www.jpbox-office.com/fichfilm.php?id=15292&view=2
"
                            James McAvoy,
                            Daniel Radcliffe",40 000 000 $,,  25/11/2015,"
                                  1h 49min                            ",106131,,Fantasy,Etats-Unis,,,,224,"
                20th Century Fox","
                            Docteur Frankenstein",https://www.jpbox-office.com/fichfilm.php?id=15292&view=2
"
                            Robin Williams",7 000 000 $,,  18/09/2002,"
                                  1h 38min                            ",106000,,Thriller,Etats-Unis,,,,101,"
                UFD","
                            Photo obsession",https://www.jpbox-office.com/fichfilm.php?id=1876&view=2
,? $,,  14/10/1998,"
                                  1h 45min                            ",106068,,Drame,Grande-Bretagne,,"
                                    Ken Loach",,106,"
                Diaphana","
                            My Name is Joe",https://www.jpbox-office.com/fichfilm.php?id=3107&view=2
,9 078 468 €,,  12/12/2007,"
                                  2h 31min                            ",105919,,Comédie,France,,,,90,"
                Pathé","
                            La Graine et le mulet",https://www.jpbox-office.com/fichfilm.php?id=9982&view=2
,80 000 000 $,,  08/09/2010,"
                                  1h 35min                            ",106408,,Comédie,Etats-Unis,,"
                                    Dennis Dugan",,187,"
                Sony Pictures","
                            Copains pour toujours",https://www.jpbox-office.com/fichfilm.php?id=11223&view=2
,,Tyler Bates,  11/01/2012,"
                                  1h 29min                            ",105048,,Science Fiction,Etats-Unis,,,,300,"
                20th Century Fox","
                            The Darkest Hour",https://www.jpbox-office.com/fichfilm.php?id=12432&view=2
,30 000 000 $,Tyler Bates,  11/01/2012,"
                                  1h 29min                            ",105048,,Science Fiction,Etats-Unis,,,,300,"
                20th Century Fox","
                            The Darkest Hour",https://www.jpbox-office.com/fichfilm.php?id=12432&view=2
,3 999 989 €,,  16/11/2016,"
                                  1h 39min                            ",104962,,Comédie,France,,,,278,"
                Diaphana","
                            Le Petit locataire",https://www.jpbox-office.com/fichfilm.php?id=16411&view=2
"
                            Karin Viard",3 999 989 €,,  16/11/2016,"
                                  1h 39min                            ",104962,,Comédie,France,,,,278,"
                Diaphana","
                            Le Petit locataire",https://www.jpbox-office.com/fichfilm.php?id=16411&view=2
,192806,,  27/12/2023,"
                                  1h 40min                            ",104853,,Drame,France,,,,420,"
                Gaumont","
                            Une affaire d'honneur",https://www.jpbox-office.com/fichfilm.php?id=23334&view=2
"
                            Isabelle Huppert",,,  28/09/2005,"
                                  1h 30min                            ",103731,,Drame,France,,"
                                    Patrice Chéreau",,130,"
                Mars Distribution","
                            Gabrielle",https://www.jpbox-office.com/fichfilm.php?id=841&view=2
"
                            Isabelle Huppert",5 320 000 €,,  28/09/2005,"
                                  1h 30min                            ",103731,,Drame,France,,"
                                    Patrice Chéreau",,130,"
                Mars Distribution","
                            Gabrielle",https://www.jpbox-office.com/fichfilm.php?id=841&view=2
